full_name,registered_year,engine_capacity [cc],insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power [hp],seats,mileage [kmkg],body_type,city,resale_price [USD]
Maruti Baleno,2017,1197,Third Party,Manual,40000.0,First Owner,Petrol,80,5.0,28.53333333333333,Hatchback,Agra,6540.0
Tata Hexa,2018,2179,Third Party,Automatic,70000.0,First Owner,Diesel,150,7.0,20.705882352941178,MUV,Agra,12000.0
Maruti Swift,2015,1197,Third Party,Manual,70000.0,Second Owner,Petrol,80,5.0,27.8,Sedan,Agra,5400.0
Hyundai i10,2009,1086,Third Party,Manual,80000.0,First Owner,Petrol,60,5.0,26.41333333333333,Hatchback,Agra,1920.0
Hyundai i20,2015,1197,Third Party,Manual,70000.0,First Owner,Petrol,80,5.0,22.92,Hatchback,Agra,5640.0
Tata Tiago,2017,1047,Third Party,Manual,120000.0,First Owner,Diesel,60,5.0,32.09411764705882,Hatchback,Agra,4320.0
Hyundai i10,2010,1086,Third Party,Manual,60000.0,Second Owner,Petrol,60,5.0,26.41333333333333,Hatchback,Agra,2400.0
Maruti Eeco,2016,1196,Third Party,Manual,20000.0,First Owner,Petrol,70,7.0,20.493333333333332,Minivans,Agra,4440.0
Honda Amaze,2014,1198,Third Party,Manual,70000.0,First Owner,Petrol,80,5.0,24.0,Sedan,Agra,3960.0
Hyundai Xcent,2018,1197,Third Party,Manual,60000.0,Second Owner,Petrol,80,5.0,26.853333333333335,Sedan,Agra,5700.0
Maruti Ciaz,2020,1462,Third Party,Manual,50000.0,Third Owner,Petrol,100,5.0,28.746666666666666,Sedan,Agra,8232.0
Hyundai Venue,2021,1493,Third Party,Manual,60000.0,First Owner,Diesel,90,5.0,27.88235294117647,SUV,Agra,15000.0
Hyundai Venue,2021,1396,Third Party,Manual,60000.0,First Owner,Diesel,80,5.0,27.88235294117647,SUV,Agra,13200.0
Maruti Alto,2019,998,Third Party,Automatic,20000.0,First Owner,Petrol,60,5.0,31.933333333333334,Hatchback,Agra,4740.0
Maruti Wagon,2016,998,Third Party,Manual,40000.0,First Owner,CNG,50,5.0,26.6,Hatchback,Agra,4200.0
Toyota Etios,2011,1496,Third Party,Manual,50000.0,Second Owner,Petrol,80,5.0,23.46666666666667,Sedan,Agra,3468.0
Toyota Corolla,2011,1364,Third Party,Manual,150000.0,First Owner,Diesel,80,5.0,25.211764705882352,Sedan,Agra,3384.0
Kia Sonet,2021,998,Third Party,Manual,10000.0,First Owner,Petrol,110,5.0,24.266666666666666,SUV,Agra,12000.0
Maruti Ciaz,2020,1462,Third Party,Manual,30000.0,Second Owner,Petrol,100,5.0,27.53333333333333,Sedan,Agra,9420.0
Ford Ecosport,2014,1498,Third Party,Manual,150000.0,Third Owner,Diesel,80,5.0,26.705882352941178,SUV,Agra,3600.0
